2018-04-06T16:56:30,863Z	12,932722
2018-04-06T16:56:31,363Z	12,431906
2018-04-06T16:56:31,864Z	11,931749
2018-04-06T16:56:32,365Z	11,431419
2018-04-06T16:56:32,875Z	10,930844
2018-04-06T16:56:33,113Z	10,680766
2018-04-06T16:56:33,363Z	10,430685
2018-04-06T16:56:33,613Z	10,180894
2018-04-06T16:56:33,865Z	9,929564
2018-04-06T16:56:34,363Z	9,431448
2018-04-06T16:56:34,879Z	8,921527
2018-04-06T16:56:35,367Z	8,43045
2018-04-06T16:56:35,863Z	7,931008
2018-04-06T16:56:36,123Z	7,678029
2018-04-06T16:56:36,614Z	7,181397
2018-04-06T16:56:37,161Z	6,67005
2018-04-06T16:56:37,613Z	6,184592
2018-04-06T16:56:37,868Z	5,934591
2018-04-06T16:56:38,048Z	5,75146
2018-04-06T16:56:38,367Z	5,75146
2018-04-06T16:56:46,616Z	5,561365
2018-04-06T16:56:46,777Z	5,874997
2018-04-06T16:56:46,941Z	6,366281
2018-04-06T16:56:46,990Z	7,385473
2018-04-06T16:56:47,082Z	7,299904
2018-04-06T16:56:47,103Z	7,290835
2018-04-06T16:56:47,187Z	7,185098
2018-04-06T16:56:47,247Z	7,127001
2018-04-06T16:56:47,357Z	7,014612
2018-04-06T16:56:47,395Z	6,991652
2018-04-06T16:56:47,864Z	6,509832
2018-04-06T16:56:48,366Z	6,010032
2018-04-06T16:56:48,881Z	5,510651
2018-04-06T16:56:49,114Z	5,260415
2018-04-06T16:56:49,613Z	4,760792
2018-04-06T16:56:49,865Z	4,510013
2018-04-06T16:56:50,400Z	3,974915
2018-04-06T16:56:50,588Z	3,044873
2018-04-06T16:56:50,677Z	3,789223
2018-04-06T16:56:51,125Z	3,379204
2018-04-06T16:56:51,154Z	3,362937
2018-04-06T16:56:51,434Z	3,071026
2018-04-06T16:56:51,489Z	2,892931
2018-04-06T16:56:51,504Z	2,887704
2018-04-06T16:56:51,557Z	4,819563
2018-04-06T16:56:51,584Z	4,791467
2018-04-06T16:56:51,864Z	4,514054
2018-04-06T16:56:52,114Z	4,264312
