Time 1-10.0.0.4-10.0.0.2 5-10.0.0.4-10.0.0.2 3-10.0.0.4-10.0.0.2 4-10.0.0.4-10.0.0.2 2-10.0.0.4-10.0.0.2 1-10.0.0.3-10.0.0.2 5-10.0.0.3-10.0.0.2 3-10.0.0.3-10.0.0.2 2-10.0.0.3-10.0.0.2 4-10.0.0.3-10.0.0.2 Aggregate-Flow
323.000000 0.001279 0.008240 0.007725 0.009981 0.012387 0.001319 0.008732 0.008991 0.009508 0.010006 0.078168
324.000000 0.001360 0.008505 0.008237 0.009960 0.012413 0.001374 0.008635 0.008886 0.010045 0.009822 0.079237
325.000000 0.001368 0.008786 0.008417 0.009388 0.012229 0.001244 0.008051 0.009582 0.009342 0.009759 0.078166
326.000000 0.001206 0.008812 0.008736 0.010921 0.011226 0.001114 0.009451 0.010188 0.009178 0.009762 0.080594
327.000000 0.001224 0.008270 0.009566 0.009367 0.013257 0.001302 0.009442 0.009710 0.010535 0.011506 0.084179
328.000000 0.001076 0.010126 0.010443 0.011770 0.010614 0.001406 0.009552 0.010278 0.009303 0.010430 0.084998
329.000000 0.001331 0.007722 0.009377 0.010861 0.012506 0.001766 0.009344 0.009997 0.010095 0.009017 0.082016
330.000000 0.001476 0.009598 0.010354 0.008528 0.011696 0.001593 0.008179 0.009892 0.010424 0.009056 0.080796
331.000000 0.001808 0.011968 0.008800 0.023122 0.007453 0.001835 0.005347 0.009008 0.008721 0.011234 0.089296
332.000000 0.000000 1.579824 0.276798 1.546215 0.033539 0.003684 0.033548 0.153007 0.300606 0.000000 3.927221
333.000000 0.001759 0.019062 0.043668 0.016514 0.010670 0.001368 0.018111 0.015594 0.000000 0.042372 0.169118
334.000000 0.001488 0.009657 0.010833 0.017122 0.022822 0.000000 0.024934 0.101966 0.012151 0.010497 0.211470
335.000000 0.001855 0.000000 0.034278 0.041239 0.000000 0.000000 0.012461 0.026412 0.012606 0.028213 0.157064
336.000000 0.001633 0.010559 0.007150 0.009976 0.011543 0.001639 0.008816 0.008333 0.018584 0.009040 0.087273
337.000000 0.001255 0.016010 0.009527 0.009231 0.012889 0.001119 0.008080 0.012285 0.008673 0.009407 0.088476
338.000000 0.001205 0.007433 0.009869 0.009363 0.012179 0.001217 0.007738 0.011119 0.012378 0.008825 0.081326
339.000000 0.001135 0.008646 0.010234 0.045394 0.011529 0.001044 0.019569 0.009248 0.012485 0.008824 0.128108
340.000000 0.001086 0.008781 0.008807 0.010064 0.010569 0.001266 0.008846 0.010780 0.011924 0.008590 0.080713
341.000000 0.001095 0.009081 0.009696 0.010182 0.060656 0.001198 0.007737 0.010763 0.014402 0.009053 0.133863
342.000000 0.001094 0.009296 0.010233 0.009808 0.009797 0.001297 0.008854 0.010206 0.011867 0.009255 0.081707
343.000000 0.001404 0.009627 0.010433 0.011055 0.013131 0.001303 0.009015 0.010686 0.011938 0.008570 0.087162
